id,value
id_0,12.897574664326436
id_1,15.383878833440892
id_2,20.004575906236628
id_3,21.531779922800574
id_4,17.47412298640326
id_5,17.314693631422692
id_6,18.078367185533118
id_7,27.853203368856327
id_8,29.18887128806675
id_9,31.04939704934258
id_10,32.26053262706272
id_11,35.4075615135628
id_12,38.024628847765044
id_13,36.77408609320401
id_14,39.546033689389034
id_15,47.48770302324034
id_16,52.72476513297469
id_17,50.30279625939744
id_18,38.90762705850938
id_19,30.303461717531796
id_20,25.655030017582067
id_21,19.00967342319845
id_22,10.724515181542836
id_23,18.008262177806987
id_24,23.62944166805936
id_25,17.26473045529221
id_26,15.997090081311201
id_27,15.701957486848833
id_28,15.83167777049208
id_29,17.725781291406015
id_30,15.68718224642704
id_31,22.184979525266165
id_32,25.660746323770823
id_33,25.849311958199696
id_34,23.136576422107748
id_35,21.30336983723149
id_36,32.10894369051221
id_37,46.99979144982846
id_38,38.186121996156345
id_39,44.488441249647224
id_40,43.486158061599625
id_41,42.658378201830814
id_42,34.313164799216835
id_43,36.53292389515894
id_44,40.09410087613653
id_45,35.459623823902604
id_46,28.47174868014817
id_47,27.673739600374518
id_48,24.5814820601202
id_49,20.302208853779188
id_50,15.855311929146174
id_51,19.666479070072825
id_52,16.706284085565652
id_53,15.578289799377997
id_54,20.7211623720793
id_55,28.173944125403214
id_56,34.794732745520406
id_57,38.80530365372945
id_58,41.15646296763799
id_59,40.35655070973986
id_60,40.89401747798005
id_61,44.949515920240856
id_62,53.47004701369585
id_63,49.07888735275425
id_64,48.862920828750866
id_65,47.27081985970654
id_66,50.07949985859283
id_67,53.449068903646335
id_68,50.24580343558192
id_69,42.03016540305605
id_70,29.291293917359976
id_71,24.050191944996392
id_72,33.19045487014339
id_73,40.35612231996706
id_74,34.32327273445426
id_75,32.751645361072484
id_76,30.55091985248165
id_77,37.13957232464702
id_78,28.370444048752123
id_79,17.00988534313455
id_80,25.021003029075846
id_81,32.13551918456836
id_82,30.45513923850526
id_83,24.333793642954895
id_84,24.031630145754374
id_85,31.95457984810829
id_86,29.164431661539666
id_87,26.912990766730058
id_88,28.778067269771736
id_89,26.042983171546155
id_90,20.191076767858675
id_91,14.868762882058153
id_92,18.908495603765733
id_93,23.83719421019315
id_94,18.56434044036241
id_95,18.51545581448323
id_96,23.004918019056145
id_97,24.343836794506906
id_98,25.335602000372653
id_99,28.808235148665695
id_100,27.166334069617854
id_101,31.954496743317275
id_102,41.940663016091825
id_103,48.38743163158379
id_104,47.10434636437627
id_105,40.19671849885546
id_106,37.41380056620345
id_107,40.356991954099165
id_108,31.550846705543723
id_109,38.8887164297878
id_110,37.141302857538136
id_111,34.74404555147003
id_112,27.073965210026365
id_113,21.75970953014515
id_114,24.533417309286623
id_115,21.00069461143485
id_116,14.684190822432821
id_117,9.383416406124256
id_118,8.07445289737742
id_119,17.12971957905946
id_120,17.043736721962144
id_121,21.264741501780698
id_122,15.725902493217323
id_123,20.4690081384582
id_124,22.715835522036176
id_125,33.025116243212345
id_126,50.47729229699533
id_127,55.488067878158525
id_128,49.0532179138077
id_129,40.268789046804166
id_130,43.41618812604609
id_131,46.03414512125813
id_132,37.63722890953795
id_133,34.9998177792061
id_134,32.515403279822515
id_135,32.27056596467434
id_136,24.840172135592702
id_137,24.702251667992172
id_138,26.462427535922462
id_139,28.65663380481307
id_140,33.71015481795273
id_141,33.46544235354306
id_142,24.049191336157143
id_143,28.37500829475963
id_144,32.0113190927792
id_145,37.32168160590595
id_146,37.52979654693298
id_147,33.53277639934099
id_148,33.90920358109388
id_149,31.110208895664325
id_150,33.54153509299489
id_151,42.72298781758434
id_152,46.33279494082402
id_153,45.85373512100978
id_154,37.40794885732836
id_155,38.982624782389465
id_156,43.98041891036168
id_157,42.61728334871906
id_158,44.4466157644623
id_159,50.633924363176504
id_160,56.2312291895188
id_161,56.325259981753376
id_162,45.021085846228054
id_163,38.700975996474455
id_164,32.30701689894898
id_165,28.844350521162216
id_166,38.78567210625558
id_167,37.50370683965792
id_168,34.1285413586624
id_169,26.898056967894956
id_170,16.810234856474025
id_171,23.736316123629464
id_172,19.122989254027676
id_173,22.94417463051832
id_174,24.795864126154086
id_175,27.631807317999765
id_176,46.07244262410993
id_177,59.97285132877409
id_178,56.82038430422565
id_179,44.81163708838679
id_180,44.773016201895175
id_181,50.14368734588565
id_182,54.94378283926469
id_183,51.483518878312985
id_184,49.95514772191654
id_185,41.0700291345002
id_186,29.641072091217666
